Company Name,Company HQ,Sector,URL,Date,
Flextronics International,USA,Technology,https://www.flextronics.com/sites/default/files/component_b2/Slavery%20and%20Human%20Trafficking%20Statement%202016_0.pdf,18/8/16,
Ford UK,USA,Transport,http://www.ford.co.uk/experience-ford/SlaveryStatement,18/8/16,
Forrest,UK,Construction & building materials ,http://forrest.co.uk/modern-slavery-act-2015/,18/8/16,
Fortis Living,UK,Real estate,https://www.fortisliving.com/legal-information---fortis-living,8/25/16,
FP McCann,Northern Ireland,Construction & building materials ,http://fpmccann.co.uk/sites/default/files/Company%20Policy%20Statements/CPS%20026%20-%20Slavery%20&%20Human%20Trafficking%20Policy%20Statement.pdf,18/8/16,
Freeths LLP,UK,Professional services,http://www.freeths.co.uk/content/pages/documents/Modern%20Slavery%20Act%202015%20-%20Oct%2015%20.pdf,18/8/16,
Freight Transport Association,UK,Shipping & handling,http://www.fta.co.uk/about/anti-slavery-and-human-trafficking-policy.html,19/8/16,
Fuel Card Services,UK,Services,http://www.fuelcardservices.com/docs/ModernSlavery.pdf,8/25/16,
Fujitsu Ltd,Japan,Technology,http://www.fujitsu.com/uk/about/local/corporate-responsibility/modern-slavery-statement/,19/8/16,
FW Thorpe Plc.,UK,Consumer products/retail,http://www.fwthorpe.co.uk/pdf/fwthorpe-slavery-and-human-trafficking-statement.pdf,19/8/16,
G&I Diamond Drilling Limited,UK,Professional services,http://www.gi-diamond-drilling.co.uk/wp-content/uploads/2013/05/Modern-Slavery-and-Human-Trafficking-Statement-August-2016.pdf,8/26/16,
Gamesys ,UK,Leisure,http://www.gamesyscorporate.com/policies/anti-slavery-policy/,19/8/16,
Gatwick Airport,UK,Transport,http://www.gatwickairport.com/business-community/airlines-business/business/modern-slavery-act/,19/8/16,
General Mills,USA,Agriculture/food/beverage,https://www.generalmills.com/~/link.aspx?_id=213D6381611C416DB3F8176DD7ED00E1&_z=z,19/8/16,
Gentoo Group Limited,UK,Real estate,https://www.gentoogroup.com/about-us/legal/slavery-and-human-trafficking-statement/,9/2/16,
Getinge Group,Sweden,Health,http://www.getingegroup.com/en/modern-slavery-act-transparency-statement/ ,19/8/16,
Getinge Group (on behalf of Maquet Ltd) ,Sweden,Health,http://www.maquet.com/uk/legal/modern-slavery-act-transparency-statement/,22/8/16,
Gleadell & Dunns,UK,Agriculture/food/beverage,http://www.gleadell.co.uk/uploads/Slavery-and-Human-Trafficking-Statement.pdf,19/8/16,
Global Invacom,Singapore,Technology,http://www.globalinvacom.com/modern-slavery-act,19/8/16,
Globus Group (includes Riley Eyewear and HAIKA Gloves),UK,Consumer products/retail,http://www.riley-eyewear.com/assets/files/Globus%20Group_Slavey%20and%20Human%20Trafficking%20Statement-201609.pdf,17/8/16,
Go Ahead Group,UK,Transport,http://www.buscms.com/BlueStar2015/uploadedfiles/pdfs/Other_pdfs/Modern_Slavery_Statement.pdf,19/8/16,
Go South Coast,UK,Transport,http://www.buscms.com/BlueStar2015/uploadedfiles/pdfs/Other_pdfs/Modern_Slavery_Statement.pdf,19/8/16,
Go Traffic Management (GTM) Ltd,UK,Professional services,http://www.gtm.co.uk/files/8314/6591/8121/PO007_-__Modern_Slavery_Statement_16-17_-_Issue_04.pdf,24/8/16,
Gomez,UK,Agriculture/food/beverage,http://www.agomez.co.uk/documents/modslav28016.pdf,19/8/16,
Goodwood,UK,Leisure,https://www.goodwood.com/globalassets/goodwood-estate/terms--conditions/modern-slavery-act-statement.pdf,19/8/16,
Gould Intl.UK,UK,Natural resources,http://www.gouldpublicationpapers.co.uk/pdf/0426_001.pdf,19/8/16,
Graham,UK,Construction & building materials ,https://www.graham.co.uk/modern-slavery-act-transparency-statement,19/8/16,
Great Places Housing Group,UK,Real estate,http://www.greatplaces.org.uk/About%20Us/Living%20giving%20growing%20together/Pages/Human-rights-policy-statement.aspx,19/8/16,
Greater  Manchester  West  Mental  Health  NHS  Foundation  Trust,UK,Health,https://www.gmw.nhs.uk/declarations,8/26/16,
Green Investment Bank,UK,Finance,http://www.greeninvestmentbank.com/modern-slavery-statement/,19/8/16,
Greencell,UK,Consumer products/retail,http://www.greencell.com/news.php?nid=39,19/8/16,
GSMA,UK,Technology,http://www.gsma.com/aboutus/wp-content/uploads/2016/07/GSMA_Statement_Modern_Slavery_Act_2015_May_16.pdf,19/8/16,
G-Staff Ltd,UK,Services,http://g-staff.co.uk/page3.html,8/30/16,
H I Weldrick,UK,Health,https://www.weldricks.co.uk/modern-slavery-act-transparency-statement,19/8/16,
Halfords,UK,Transport,http://www.halfordscompany.com/investors/governance/the-halfords-anti-slavery-and-human-trafficking-statement,19/8/16,
Hammonds Furniture Ltd,UK,Furnishings,https://www.hammonds-uk.com/modern-slavery-act,8/30/16,
Hanover,UK,Housing,http://www.hanover.org.uk/slavery-and-human-trafficking-statement/,19/8/16,
Hanson UK,UK,Construction & building materials ,http://www.hanson.co.uk/en/modern-slavery-statement,19/8/16,
Hapimag AG ,Switzerland,Travel,http://www.hapimag.com/en/about-us.html,19/8/16,
Hardware Group,UK,Technology,http://images.go.hardware.com/Web/HardwarecomGroupLtd/%7B73bc383f-90c9-4227-93a9-71882a94a56e%7D_HWGAntiSlaveryStatement.pdf,19/8/16,
